step_size,method,seed,density_error,left_mass,right_mass,learned_mean,learned_second_moment,test_nll,runtime_seconds,particle_mean,particle_std,stable
0.02,SVGD,107,0.002522591967135668,0.3177143633365631,0.6822856068611145,0.7752602100372314,4.372634410858154,2.005040407180786,8.831773749989225,0.6943925619125366,2.320235252380371,True
0.02,SVGD,117,0.007832716219127178,0.461161345243454,0.5388387441635132,0.1435796618461609,4.693493366241455,2.031855344772339,9.450855625007534,0.5972959995269775,2.2976248264312744,True
0.02,SVGD,127,0.0008567780023440719,0.33773553371429443,0.6622644662857056,0.7017626762390137,4.5764617919921875,2.010587215423584,8.953116166987456,0.7380262613296509,2.465749740600586,True
0.02,SVGD,137,0.005655802320688963,0.2755489945411682,0.724450945854187,1.0019538402557373,4.629696369171143,2.0396769046783447,8.516133249999257,0.7510555386543274,2.4950146675109863,True
0.02,SVGD,147,0.0031646783463656902,0.3617042601108551,0.6382957696914673,0.5578851699829102,4.260585308074951,2.025214672088623,9.094676417007577,0.6184254884719849,2.4137635231018066,True
0.05,SVGD,107,0.0007998758810572326,0.3215145170688629,0.6784855127334595,0.7704916000366211,4.765347480773926,1.9889559745788574,8.828022750007221,0.7232864499092102,2.2519805431365967,True
0.05,SVGD,117,0.0151005107909441,0.5059515833854675,0.49404841661453247,-0.1305241584777832,4.778235912322998,2.067753791809082,8.874780125013785,0.5199683308601379,2.2071969509124756,True
0.05,SVGD,127,0.0008806426194496453,0.33483147621154785,0.6651685237884521,0.7002259492874146,4.6817240715026855,2.0058186054229736,9.037705499998992,0.7067264318466187,2.356977701187134,True
0.05,SVGD,137,0.03296232223510742,0.10024496912956238,0.8997550010681152,1.979823112487793,6.447360992431641,2.2998223304748535,8.659208333003335,0.8991467952728271,2.4048244953155518,True
0.05,SVGD,147,0.002724755322560668,0.344143271446228,0.6558566689491272,0.6161710023880005,4.493391990661621,2.012693405151367,9.026315333991079,0.6656137108802795,2.3172006607055664,True
0.1,SVGD,107,0.00947786495089531,0.47596821188926697,0.5240317583084106,-0.015182229690253735,5.39943790435791,2.038339138031006,8.83185424999101,0.14398810267448425,2.2946295738220215,True
0.1,SVGD,117,0.01558460108935833,0.5038798451423645,0.4961200952529907,-0.2272738367319107,5.022814750671387,2.0938193798065186,9.126439167011995,0.7684442400932312,2.0274176597595215,True
0.1,SVGD,127,0.013965237885713577,0.48120367527008057,0.5187963247299194,-0.11515718698501587,4.748982906341553,2.09067964553833,8.939640416996554,0.8267604112625122,2.0954010486602783,True
0.1,SVGD,137,0.017937345430254936,0.16147904098033905,0.838520884513855,1.692514181137085,6.251556396484375,2.1453089714050293,8.847532582993153,0.5640673041343689,2.3763816356658936,True
0.1,SVGD,147,0.008580797351896763,0.4283144176006317,0.5716856122016907,0.12906037271022797,4.684391975402832,2.0601391792297363,8.970025791990338,0.8679178357124329,2.164931535720825,True
0.2,SVGD,107,0.004516003653407097,0.2651849091053009,0.7348150014877319,1.0153080224990845,5.062097072601318,2.011627435684204,8.754156332986895,1.1491479873657227,1.9956287145614624,True
0.2,SVGD,117,0.010941578075289726,0.21029171347618103,0.7897083759307861,1.3940775394439697,5.683830261230469,2.0694174766540527,8.860777082998538,0.8288658261299133,2.1970081329345703,True
0.2,SVGD,127,0.010420836508274078,0.20763415098190308,0.7923659086227417,1.3979543447494507,5.743316650390625,2.0769948959350586,8.969734667014563,0.7926774024963379,2.2215192317962646,True
0.2,SVGD,137,0.015703879296779633,0.17263741791248322,0.827362596988678,1.592917799949646,6.023861408233643,2.117588996887207,8.639156833000015,1.3059180974960327,2.04931378364563,True
0.2,SVGD,147,0.01604999601840973,0.5093131065368652,0.49068683385849,-0.24290265142917633,5.170440673828125,2.1071572303771973,9.055193292006152,0.6333051323890686,2.0917539596557617,True
0.03,Langevin,107,0.004574933089315891,0.38975095748901367,0.6102489233016968,0.36070406436920166,5.248651027679443,2.0281429290771484,2.611686792020919,0.37731415033340454,2.1911375522613525,True
