method,seed,density_error,left_mass,right_mass,learned_mean,learned_second_moment,test_nll,runtime_seconds,particle_mean,particle_std,stable
SVGD,7,0.0020398148335516453,0.31929442286491394,0.6807055473327637,0.8143011927604675,5.00478982925415,2.0090014934539795,12.431947459001094,0.7138209342956543,2.236618757247925,True
Langevin,7,0.0027249911800026894,0.35843780636787415,0.6415622234344482,0.5603992938995361,5.196117877960205,2.022819995880127,3.6983672920032404,0.42490410804748535,2.202988624572754,True
SVGD,17,0.0035518379881978035,0.29050520062446594,0.7094948887825012,0.8908815979957581,4.688157081604004,2.0137922763824463,12.640925250016153,0.7455141544342041,2.251563310623169,True
Langevin,17,0.002327684545889497,0.38599568605422974,0.614004373550415,0.43413281440734863,5.011554718017578,2.011653184890747,3.6431444170011673,0.2990967929363251,2.2516143321990967,True
SVGD,27,0.0034750783815979958,0.35089582204818726,0.6491042375564575,0.5730313658714294,4.397517204284668,2.022550106048584,11.077780166990124,0.8044031262397766,2.1726510524749756,True
Langevin,27,0.003639443777501583,0.2961377501487732,0.703862190246582,0.9158459305763245,5.297168731689453,2.028974771499634,2.5424697090056725,1.0830717086791992,1.9418634176254272,True
SVGD,37,0.009860008955001831,0.469584584236145,0.530415415763855,0.07076448202133179,4.646934509277344,2.0529751777648926,8.141162500018254,0.5991981029510498,2.2240238189697266,True
Langevin,37,0.004161537624895573,0.2897602319717407,0.710239827632904,0.9207756519317627,5.170027732849121,2.0291318893432617,2.652912165998714,1.2192171812057495,1.8820747137069702,True
SVGD,47,0.012091124430298805,0.45092496275901794,0.5490750074386597,-0.021249614655971527,4.802043437957764,2.0822086334228516,7.842486333014676,1.0200341939926147,2.1149511337280273,True
Langevin,47,0.003636320121586323,0.28471696376800537,0.7152830362319946,0.9673980474472046,5.301701068878174,2.033503293991089,2.498061083984794,1.5175303220748901,1.9636807441711426,True
SVGD,57,0.021472524851560593,0.5357967615127563,0.4642031490802765,-0.3676156997680664,5.210198402404785,2.125871419906616,8.298376582999481,0.5230357646942139,2.1655080318450928,True
Langevin,57,0.014671942219138145,0.19474391639232635,0.8052560091018677,1.4529345035552979,5.715627670288086,2.0978856086730957,2.5058734170161188,1.1207644939422607,2.231384754180908,True
SVGD,67,0.03167494013905525,0.5747884511947632,0.42521151900291443,-0.5578742027282715,5.307989120483398,2.165708541870117,8.433167291979771,0.6064839959144592,2.168020725250244,True
Langevin,67,0.004863340873271227,0.42388594150543213,0.5761141180992126,0.23223058879375458,5.207030296325684,2.0370612144470215,2.498411042004591,0.8862922191619873,2.2195465564727783,True
SVGD,77,0.0008427983266301453,0.35614079236984253,0.6438592076301575,0.6618215441703796,5.364956855773926,2.0025031566619873,8.33618679200299,0.6854596138000488,2.2148051261901855,True
Langevin,77,0.002368923043832183,0.2997857928276062,0.7002142071723938,0.894183337688446,5.444506645202637,2.0119762420654297,2.530967167025665,0.4583319425582886,2.23697829246521,True
SVGD,87,0.001547209918498993,0.3729296922683716,0.627070426940918,0.5263591408729553,4.629190921783447,2.0065393447875977,7.76607820900972,0.6721824407577515,2.2654411792755127,True
Langevin,87,0.0063521284610033035,0.2538610100746155,0.7461389303207397,1.1275551319122314,5.583529472351074,2.0339853763580322,2.498944291990483,0.9769371151924133,2.1964070796966553,True
SVGD,97,0.009425470605492592,0.46428754925727844,0.5357123613357544,0.032648272812366486,4.687026023864746,2.039903163909912,7.98918400000548,0.6530147790908813,2.1422173976898193,True
Langevin,97,0.007303057704120874,0.45462656021118164,0.5453733205795288,0.09483729302883148,5.1284708976745605,2.0347397327423096,2.5168275000178255,0.4840890169143677,2.040203094482422,True
