sample_size,method,x_mse,x_squared_mse,cosine_mse
10,Monte Carlo,0.6801987504146937,1.0827324562249536,0.059966634790058294
10,SVGD,0.08149343915447937,0.023950949720843405,0.0032467360662206375
20,Monte Carlo,0.3822923791908626,1.7380544553650534,0.010715644960686724
20,SVGD,0.004431738220194494,0.02088939568577823,0.0002428278508173861
50,Monte Carlo,0.08304990766747661,0.3503702510449469,0.004491586392129925
50,SVGD,0.0012559147497578768,0.009583892165310253,0.0001549186620218148
100,Monte Carlo,0.03919995705126536,0.16326439539524537,0.007221425186566555
100,SVGD,0.0012262900838138904,0.006790303610840672,0.00021740170102962805
250,Monte Carlo,0.012899060444962484,0.036062689953241876,0.0015505287885272448
250,SVGD,0.0003528404753432095,0.003082355424759914,0.0001448222938220495
