seed,method,mean_target_energy,energy_error,mode_coverage,mode_weight_error,mode_center_error,within_mode_variance_error,sliced_wasserstein,runtime_seconds
7,Target,3.3067551067957686,0.1108661326200302,2,0.06666666666666665,0.10750319546085604,0.12793987985738764,0.48764559422694587,nan
7,Langevin,3.3444063994469424,0.07321483996885636,2,0.046666666666666634,0.24154694148565772,0.1010631663082115,0.39198949643974923,0.07280141700175591
7,SVGD,3.3028465259386417,0.11477471347715706,2,0.013333333333333308,0.061305423974325216,0.179135009594226,0.2832110194685941,0.31848566699773073
17,Target,3.483425084471071,0.06580384505527226,2,0.09333333333333332,0.1316866520926073,0.18415856159005284,0.5514947414000407,nan
17,Langevin,3.42022208011831,0.00260084070251132,2,0.03333333333333327,0.2083493942551692,0.053572113515456155,0.5019206931716963,0.05061083298642188
17,SVGD,3.346387528173121,0.07123371124267797,2,0.013333333333333308,0.03909219470951675,0.10069427392409536,0.4477068090952342,0.31275804102187976
27,Target,3.548769280333735,0.1311480409179362,2,0.13333333333333336,0.2288174917213765,0.17809433886414733,0.5016748930594128,nan
27,Langevin,3.4078013657775106,0.009819873638288179,2,0.046666666666666634,0.01257110654923307,0.15390047830901887,0.31255125491545227,0.05841604099259712
27,SVGD,3.3708207616765935,0.04680047773920526,2,0.00666666666666671,0.03350132085959263,0.05914320149310237,0.2846130372469082,0.30758049999712966
37,Target,3.5183518395659985,0.10073060015019975,2,0.026666666666666727,0.20995974727611444,0.09790891971491855,0.32544932561929796,nan
37,Langevin,3.314449265820703,0.10317197359509578,2,0.1866666666666667,0.2153090201649795,0.05583830461692685,0.43529529568443476,0.053739249997306615
37,SVGD,3.377223171653244,0.040398067762554835,2,0.03333333333333327,0.029116239116439725,0.09116861659885317,0.28366925036197765,0.28968991700094193
47,Target,3.4286483582972296,0.01102711888143082,2,0.06666666666666665,0.2225588000127018,0.1789811817721994,0.4791797310525246,nan
47,Langevin,3.4065960189567828,0.011025220459015994,2,0.15333333333333332,0.25277250214775643,0.11359413129725071,0.3182738357639924,0.057395415991777554
47,SVGD,3.3750525091317547,0.042568730284044065,2,0.026666666666666727,0.06791704145849226,0.08265273119734656,0.2612332520085566,0.4091688340122346
